Url,Format,Duration,Bit rate ,Width,Height,Frame rate,,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss)
,,,,,,,tcmalloc_test_3,700.96,0.82,391%,2:59.03
http://samples.ffmpeg.org/archive/video/wmv2/asf+wmv2+wmav2++juli_warum_300.wmv,wmv2 (WMV2 / 0x32564D57),3 min 58 s,274 kb/s,352 pixels,288 pixels,12.000 FPS,std_test_1,42.34,0.24,328%,0:12.96
,,,,,,,std_test_2,43.13,0.23,323%,0:13.40
,,,,,,,std_test_3,43.06,0.22,322%,0:13.41
,,,,,,,tcmalloc_test_1,43.61,0.31,312%,0:14.04
,,,,,,,tcmalloc_test_2,43.30,0.24,327%,0:13.30
,,,,,,,tcmalloc_test_3,43.51,0.31,307%,0:14.24
http://samples.ffmpeg.org/archive/video/wmv2/asf+wmv2+wmav2++juli_geilezeit_r300.wmv,wmv2 (WMV2 / 0x32564D57),3 min 42 s,274 kb/s,352 pixels,288 pixels,12.000 FPS,std_test_1,41.00,0.26,344%,0:11.99
,,,,,,,std_test_2,41.07,0.20,356%,0:11.58
,,,,,,,std_test_3,41.62,0.29,314%,0:13.31
,,,,,,,tcmalloc_test_1,41.29,0.42,312%,0:13.33
,,,,,,,tcmalloc_test_2,41.25,0.29,336%,0:12.34
,,,,,,,tcmalloc_test_3,41.33,0.30,333%,0:12.46
https://streams.videolan.org/benchmark/29_VP8_1280x720_30_068fps.webm,vp8,16 s 666 ms,832 kb/s,1 280 pixels,720 pixels,30.068 FPS,std_test_1,52.80,0.23,382%,0:13.87
,,,,,,,std_test_2,53.13,0.16,387%,0:13.77
,,,,,,,std_test_3,53.13,0.15,386%,0:13.78
,,,,,,,tcmalloc_test_1,53.50,0.43,345%,0:15.60
,,,,,,,tcmalloc_test_2,53.46,0.50,356%,0:15.12
,,,,,,,tcmalloc_test_3,53.69,0.24,356%,0:15.13
https://streams.videolan.org/benchmark/60_HEVC_10bits_3840x2160_60_000fps.mkv,hevc (Main 10),8 s 334 ms,10.8 Mb/s,3 840 pixels,2 160 pixels,60.000 FPS,std_test_1,419.98,2.71,370%,1:54.06
,,,,,,,std_test_2,413.92,2.35,355%,1:56.94
,,,,,,,std_test_3,415.28,1.44,364%,1:54.32
,,,,,,,tcmalloc_test_1,418.06,1.97,332%,2:06.48
,,,,,,,tcmalloc_test_2,418.00,1.72,336%,2:04.90
,,,,,,,tcmalloc_test_3,416.99,1.36,367%,1:53.88
https://streams.videolan.org/benchmark/118_MPEG_2V_8bits_1280x720_59_940fps.mpg,mpeg2video (Main) ([2][0][0][0] / 0x0002),16 s 884 ms,17.9 Mb/s,1 280 pixels,720 pixels,60.000 FPS,std_test_1,77.39,0.50,350%,0:22.22
,,,,,,,std_test_2,75.45,0.64,338%,0:22.46
,,,,,,,std_test_3,75.95,0.39,325%,0:23.45
,,,,,,,tcmalloc_test_1,75.28,0.41,373%,0:20.26
,,,,,,,tcmalloc_test_2,75.48,0.30,371%,0:20.40
,,,,,,,tcmalloc_test_3,75.08,0.28,381%,0:19.77
https://streams.videolan.org/benchmark/129_VC-1_8bits_1280x720_29_970fps.wmv,vc1 (Advanced) (WVC1 / 0x31435657),15 s 148 ms,5 942 kb/s,1 280 pixels,720 pixels,30.000 FPS,std_test_1,54.47,0.27,368%,0:14.86
,,,,,,,std_test_2,54.80,0.12,380%,0:14.42
,,,,,,,std_test_3,54.81,0.17,379%,0:14.48
,,,,,,,tcmalloc_test_1,54.91,0.18,358%,0:15.37
,,,,,,,tcmalloc_test_2,55.65,0.20,318%,0:17.56
,,,,,,,tcmalloc_test_3,55.81,0.32,326%,0:17.21
